"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneSymbols"
"GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","3/52","78/28891",0.00038034228226441,0.00844210712790808,0.00547159072731257,"20202/20201/16818",3,"S100a9/S100a8/Lck"
"GO:0018119","peptidyl-cysteine S-nitrosylation","2/52","17/28891",0.000424705237467874,0.0090710628078044,0.00587923635581148,"20202/20201",2,"S100a9/S100a8"
"GO:0034612","response to tumor necrosis factor","4/52","206/28891",0.000519936711173944,0.0103982991371927,0.00673945926968876,"20307/20303/55932/20304",4,"Ccl8/Ccl4/Gbp3/Ccl5"
"GO:0070486","leukocyte aggregation","2/52","19/28891",0.00053277504413178,0.0103982991371927,0.00673945926968876,"20202/20201",2,"S100a9/S100a8"
"GO:1901741","positive regulation of myoblast fusion","2/52","19/28891",0.00053277504413178,0.0103982991371927,0.00673945926968876,"17329/20307",2,"Cxcl9/Ccl8"
"GO:0035821","modulation of process of another organism","2/52","21/28891",0.000652779267056784,0.0123157688384713,0.00798223068664173,"20202/12796",2,"S100a9/Camp"
"GO:0042448","progesterone metabolic process","2/52","21/28891",0.000652779267056784,0.0123157688384713,0.00798223068664173,"15496/13653",2,"Hsd3b5/Egr1"
"GO:0062012","regulation of small molecule metabolic process","5/52","389/28891",0.000666624894910573,0.0123708095252257,0.00801790425802708,"21786/266645/13653/16592/13122",5,"Tff3/Acmsd/Egr1/Fabp5/Cyp7a1"
"GO:0046890","regulation of lipid biosynthetic process","4/52","222/28891",0.000688063087876128,0.0125459018233089,0.00813138699167409,"15496/13653/16592/13122",4,"Hsd3b5/Egr1/Fabp5/Cyp7a1"
"GO:0050810","regulation of steroid biosynthetic process","3/52","96/28891",0.000698225984866132,0.0125459018233089,0.00813138699167409,"15496/13653/13122",3,"Hsd3b5/Egr1/Cyp7a1"
"GO:0002544","chronic inflammatory response","2/52","23/28891",0.000784633980732786,0.0138782135342111,0.0089948994172821,"20202/12796",2,"S100a9/Camp"
"GO:0006706","steroid catabolic process","2/52","24/28891",0.00085497916230014,0.0144453195779665,0.00936245838371088,"20860/13122",2,"Sult1e1/Cyp7a1"
"GO:0035634","response to stilbenoid","2/52","24/28891",0.00085497916230014,0.0144453195779665,0.00936245838371088,"15496/28248",2,"Hsd3b5/Slco1a1"
"GO:0042180","cellular ketone metabolic process","4/52","255/28891",0.0011507417951636,0.0182657395997255,0.0118385907578656,"15496/13653/16592/13122",4,"Hsd3b5/Egr1/Fabp5/Cyp7a1"
"GO:0052547","regulation of peptidase activity","5/52","457/28891",0.00136623480709432,0.020621037355077,0.013365132077821,"20202/20731/71907/20201/16818",5,"S100a9/Spink4/Serpina9/S100a8/Lck"
"GO:0019218","regulation of steroid metabolic process","3/52","123/28891",0.0014291914395815,0.0212874303895561,0.0137970420136885,"15496/13653/13122",3,"Hsd3b5/Egr1/Cyp7a1"
"GO:0019079","viral genome replication","3/52","125/28891",0.00149685290967276,0.0220056817370073,0.0142625629260686,"20307/55932/20304",3,"Ccl8/Gbp3/Ccl5"
"GO:1901361","organic cyclic compound catabolic process","5/52","491/28891",0.00187111070211662,0.0264762164349502,0.0171600547286222,"76654/59012/266645/20860/13122",5,"Upp2/Moxd1/Acmsd/Sult1e1/Cyp7a1"
"GO:0014002","astrocyte development","2/52","39/28891",0.00225615906442206,0.0311460007429972,0.0201866863658816,"20202/20201",2,"S100a9/S100a8"
"GO:0141085","regulation of inflammasome-mediated signaling pathway","2/52","41/28891",0.00249096174415962,0.0327880080742871,0.0212509221013373,"14469/16145",2,"Gbp2/Igtp"
"GO:0042119","neutrophil activation","2/52","42/28891",0.0026125059995626,0.0339926067989064,0.0220316597906247,"12796/20304",2,"Camp/Ccl5"
"GO:0006874","intracellular calcium ion homeostasis","4/52","327/28891",0.00284471824850254,0.0346465030347761,0.0224554701648121,"17329/16818/20307/20304",4,"Cxcl9/Lck/Ccl8/Ccl5"
"GO:0042220","response to cocaine","2/52","44/28891",0.00286383071021587,0.0346465030347761,0.0224554701648121,"27083/434794",2,"Xlr4b/Xlr4a"
"GO:0019932","second-messenger-mediated signaling","4/52","328/28891",0.00287604753848877,0.0346465030347761,0.0224554701648121,"80901/16145/14200/17750",4,"Cxcr6/Igtp/Fhl2/Mt2"
"GO:0002790","peptide secretion","4/52","329/28891",0.00290761288719411,0.0346465030347761,0.0224554701648121,"20202/20201/20304/17393",4,"S100a9/S100a8/Ccl5/Mmp7"
"GO:0032480","negative regulation of type I interferon production","2/52","45/28891",0.00299359138974201,0.0352994318040412,0.0228786534939713,"55932/16145",2,"Gbp3/Igtp"
"GO:0141084","inflammasome-mediated signaling pathway","2/52","47/28891",0.00326126014910874,0.0380592421524854,0.0246673719362864,"14469/16145",2,"Gbp2/Igtp"
"GO:0014046","dopamine secretion","2/52","48/28891",0.00339914860596678,0.0388670325449939,0.025190925873034,"27083/434794",2,"Xlr4b/Xlr4a"
"GO:0051146","striated muscle cell differentiation","4/52","347/28891",0.00351715723638417,0.0394696598633915,0.0255815072761613,"17329/16669/20307/14200",4,"Cxcl9/Krt19/Ccl8/Fhl2"
"GO:0071216","cellular response to biotic stimulus","4/52","349/28891",0.00358984478060995,0.0397644917925009,0.0257725969679869,"17329/55932/14469/16145",4,"Cxcl9/Gbp3/Gbp2/Igtp"
"GO:0045663","positive regulation of myoblast differentiation","2/52","50/28891",0.00368298480652339,0.0397644917925009,0.0257725969679869,"17329/20307",2,"Cxcl9/Ccl8"
"GO:0010565","regulation of cellular ketone metabolic process","3/52","172/28891",0.00369962313138775,0.0397644917925009,0.0257725969679869,"13653/16592/13122",3,"Egr1/Fabp5/Cyp7a1"
"GO:0044282","small molecule catabolic process","4/52","353/28891",0.00373827893887478,0.0397644917925009,0.0257725969679869,"76654/266645/20860/13122",4,"Upp2/Acmsd/Sult1e1/Cyp7a1"
"GO:0055074","calcium ion homeostasis","4/52","353/28891",0.00373827893887478,0.0397644917925009,0.0257725969679869,"17329/16818/20307/20304",4,"Cxcl9/Lck/Ccl8/Ccl5"
"GO:0008202","steroid metabolic process","4/52","358/28891",0.00392962770161349,0.0401550553519523,0.0260257332902276,"15496/13653/20860/13122",4,"Hsd3b5/Egr1/Sult1e1/Cyp7a1"
"GO:0042304","regulation of fatty acid biosynthetic process","2/52","52/28891",0.00397750186060746,0.0401550553519523,0.0260257332902276,"16592/13122",2,"Fabp5/Cyp7a1"
"GO:0006694","steroid biosynthetic process","3/52","179/28891",0.00413619027537785,0.0410716437870853,0.026619802603309,"15496/13653/13122",3,"Hsd3b5/Egr1/Cyp7a1"
"GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","2/52","56/28891",0.00459826899857433,0.0452629609250969,0.029336324869623,"16818/20304",2,"Lck/Ccl5"
"GO:0001659","temperature homeostasis","3/52","195/28891",0.0052480805562317,0.0496777943996061,0.0321977149865403,"13653/20304/16592",3,"Egr1/Ccl5/Fabp5"
