"Gene","Score","rho","pval","adj_p","n"
"GSTP1","NAS",-0.10892647844265,0.476302191127149,0.624436180196927,45
"GSTP1","ballooning",0.0324789745506329,0.812167157371331,0.974600588845597,56
"GSTP1","fibrosis_stage",0.062726770348107,0.649139681864057,0.910494736826612,55
"GSTP1","inflammation",-0.205466705369,0.17572862374394,0.421748696985456,45
"GSTP1","steatosis",0.13619684396508,0.316880026712551,0.456389793181728,56
"GSTM1","NAS",0.111326327416907,0.46658151113565,0.624436180196927,45
"GSTM1","ballooning",0.167180817365789,0.218121388424784,0.41328263069959,56
"GSTM1","fibrosis_stage",0.15691751402028,0.252579450945957,0.83533052678059,55
"GSTM1","inflammation",0.0696497306335594,0.649375719017544,0.739108425410057,45
"GSTM1","steatosis",0.120159484521231,0.377715925494344,0.465322514040712,56
"GSTM3","NAS",-0.301847670984285,0.0438888840130815,0.129462614008934,45
"GSTM3","ballooning",-0.0638535003445063,0.640116323761464,0.823006701979025,56
"GSTM3","fibrosis_stage",0.0984154459727195,0.474706427756518,0.910494736826612,55
"GSTM3","inflammation",-0.276894726997459,0.0655652710873564,0.214577250831348,45
"GSTM3","steatosis",-0.281015924190295,0.0359068304110215,0.0871486654038755,56
"MGST1","NAS",0.31358026596954,0.0359409073506834,0.129462614008934,45
"MGST1","ballooning",0.293906085826571,0.0279067896640772,0.125580553488347,56
"MGST1","fibrosis_stage",0.193169483284966,0.157647872183743,0.83533052678059,55
"MGST1","inflammation",0.215247305840947,0.155608413696687,0.421748696985456,45
"MGST1","steatosis",0.389104277947338,0.00303785211804473,0.0136703345312013,56
"UGT1A1","NAS",0.224726593634158,0.137769691922251,0.275539383844502,45
"UGT1A1","ballooning",0.140021951791464,0.303349654284387,0.546029377711897,56
"UGT1A1","fibrosis_stage",0.176857275447924,0.19646376608788,0.83533052678059,55
"UGT1A1","inflammation",0.147010231225662,0.335209996398304,0.524676516101694,45
"UGT1A1","steatosis",0.129335754032894,0.342097584624502,0.456389793181728,56
"UGT1A4","NAS",0.27589172582467,0.066588419496256,0.171227364418944,45
"UGT1A4","ballooning",0.120959658617399,0.374524486548837,0.565712872890133,56
"UGT1A4","fibrosis_stage",0.114109255641068,0.406802418100302,0.910494736826612,55
"UGT1A4","inflammation",0.292686700272866,0.0510434623544966,0.195324019397282,45
"UGT1A4","steatosis",0.0282641734479884,0.836181293156453,0.885368428048009,56
"UGT1A8","NAS",-0.177788811509516,0.242637682794795,0.42741462231498,45
"UGT1A8","ballooning",-0.255659434435083,0.0572015711955929,0.205925656304135,56
"UGT1A8","fibrosis_stage",-0.247567554811996,0.0684061971627451,0.615655774464706,55
"UGT1A8","inflammation",-0.159897998624703,0.294079718570602,0.487848009169742,45
"UGT1A8","steatosis",-0.156648788374119,0.248931932763862,0.42674045616662,56
"UGT1A10","NAS",-0.1753280751284,0.249325196350405,0.42741462231498,45
"UGT1A10","ballooning",-0.135440456436324,0.319600420467105,0.547886435086467,56
"UGT1A10","fibrosis_stage",-0.050375454182869,0.714928248690175,0.910494736826612,55
"UGT1A10","inflammation",-0.206214452369465,0.174127388742274,0.421748696985456,45
"UGT1A10","steatosis",-0.0918801196649676,0.500637561035099,0.581385554750437,56
"CES1","NAS",0.446505234154757,0.00210839207828205,0.0189755287045385,45
"CES1","ballooning",0.279507346479187,0.0369563962640003,0.147825585056001,56
"CES1","fibrosis_stage",0.272191533935179,0.0443894157601505,0.615655774464706,55
"CES1","inflammation",0.400337760226725,0.00643065922951616,0.0746979459129494,45
"CES1","steatosis",0.24666493492992,0.0668516632270439,0.133703326454088,56
"CBR1","NAS",0.35022282991903,0.0183493576838841,0.0943681252314041,45
"CBR1","ballooning",0.357602074952082,0.00681396647679346,0.0490605586329129,56
"CBR1","fibrosis_stage",0.142576215572681,0.299082259689491,0.83533052678059,55
"CBR1","inflammation",0.2889077074339,0.0542566720548006,0.195324019397282,45
"CBR1","steatosis",0.484802140416898,0.000152792396770267,0.000916754380621603,56
"CBR3","NAS",-0.0721954566422218,0.637434135542355,0.692302945993449,45
"CBR3","ballooning",-0.0657760592914581,0.630059341692961,0.823006701979025,56
"CBR3","fibrosis_stage",-0.127183656876438,0.354799620659881,0.910494736826612,55
"CBR3","inflammation",-0.110624518974366,0.469413173255051,0.64995670143007,45
"CBR3","steatosis",0.00675983322794524,0.960564218825698,0.965792141165205,56
"PRDX6","NAS",-0.112870718045683,0.460382524883483,0.624436180196927,45
"PRDX6","ballooning",-0.17733750563578,0.191031954816277,0.394755111090721,56
"PRDX6","fibrosis_stage",0.0472999609548303,0.731658058597829,0.910494736826612,55
"PRDX6","inflammation",-0.158579951108456,0.298129338937064,0.487848009169742,45
"PRDX6","steatosis",-0.275930421558232,0.0395467474253522,0.0871486654038755,56
"PRDX1","NAS",0.46570402594881,0.00126482549029164,0.0166512871020684,45
"PRDX1","ballooning",0.379030451116076,0.00396709420293095,0.0476051304351714,56
"PRDX1","fibrosis_stage",-0.0568524223873478,0.680135481498321,0.910494736826612,55
"PRDX1","inflammation",0.381221132031556,0.00977383187956807,0.0746979459129494,45
"PRDX1","steatosis",0.512712656972622,5.3442388235453e-05,0.000384785195295261,56
"GCLC","NAS",0.102460218706459,0.503018034047524,0.624436180196927,45
"GCLC","ballooning",0.00421326747949017,0.975414522162365,0.975414522162365,56
"GCLC","fibrosis_stage",0.0867874558312167,0.528668417738892,0.910494736826612,55
"GCLC","inflammation",-0.0637220939838948,0.677516056625886,0.739108425410057,45
"GCLC","steatosis",0.27811885280689,0.0379447313569921,0.0871486654038755,56
"GCLM","NAS",-0.0979938331154811,0.521907053673862,0.626288464408634,45
"GCLM","ballooning",-0.0527681072674011,0.699316440167308,0.868116960207693,56
"GCLM","fibrosis_stage",0.080832637350447,0.557430037671724,0.910494736826612,55
"GCLM","inflammation",-0.0046680138616109,0.975721769939979,0.975721769939979,45
"GCLM","steatosis",-0.336267214145235,0.0112801290952912,0.0369167861300441,56
"GSR","NAS",-0.16398967990754,0.281735990906968,0.44097807272395,45
"GSR","ballooning",-0.224366719660229,0.0964311515483519,0.255916163426261,56
"GSR","fibrosis_stage",-0.0774528755100102,0.574076584035019,0.910494736826612,55
"GSR","inflammation",-0.0895073134099359,0.558740953073506,0.718381225380222,45
"GSR","steatosis",-0.275842582434214,0.0396121960148493,0.0871486654038755,56
"SLC7A11","NAS",0.0795283285080061,0.603549145698863,0.678992788911221,45
"SLC7A11","ballooning",-0.0249523608008641,0.85515642967186,0.975414522162365,56
"SLC7A11","fibrosis_stage",0.0939090968521371,0.495263425528871,0.910494736826612,55
"SLC7A11","inflammation",0.11558891466846,0.44958082009281,0.64995670143007,45
"SLC7A11","steatosis",-0.133127327856473,0.328011555913848,0.456389793181728,56
"FTL","NAS",0.0687024660047705,0.653841671216035,0.692302945993449,45
"FTL","ballooning",-0.105050733934704,0.440983973079978,0.610593193495355,56
"FTL","fibrosis_stage",0.0154511759672155,0.910852238111334,0.942824504222675,55
"FTL","inflammation",-0.10530005164725,0.491191885411433,0.654922513881911,45
"FTL","steatosis",0.117665068204239,0.387768761700593,0.465322514040712,56
"FTH1","NAS",-0.054863214050368,0.720383061757831,0.740965434950912,45
"FTH1","ballooning",-0.00601310989791315,0.964917583691447,0.975414522162365,56
"FTH1","fibrosis_stage",-0.0775735812900258,0.573478147722393,0.910494736826612,55
"FTH1","inflammation",-0.114181100964165,0.455157867777634,0.64995670143007,45
"FTH1","steatosis",0.0297294706249428,0.827814635212989,0.885368428048009,56
"HMOX1","NAS",-0.305257511791993,0.0414440021133375,0.129462614008934,45
"HMOX1","ballooning",-0.307778312964935,0.0210225055562204,0.108115742860562,56
"HMOX1","fibrosis_stage",-0.159455211602804,0.244891186817432,0.83533052678059,55
"HMOX1","inflammation",-0.163385866861182,0.283535909520066,0.487848009169742,45
"HMOX1","steatosis",-0.66811401579952,1.8472430095676e-08,3.32503741722167e-07,56
"G6PD","NAS",0.128858557423282,0.39888736470848,0.598331047062719,45
"G6PD","ballooning",0.00781295231633613,0.954426551142791,0.975414522162365,56
"G6PD","fibrosis_stage",0.00989787396127923,0.942824504222675,0.942824504222675,55
"G6PD","inflammation",0.163454580614502,0.283330701365298,0.487848009169742,45
"G6PD","steatosis",-0.148509397344552,0.274680216699268,0.449476718235165,56
"PGD","NAS",0.233785287575505,0.122187944285048,0.274922874641359,45
"PGD","ballooning",0.174871053153597,0.19737755554536,0.394755111090721,56
"PGD","fibrosis_stage",-0.0423677287854757,0.758745614022177,0.910494736826612,55
"PGD","inflammation",0.249627598409002,0.0981828848552807,0.294548654565842,45
"PGD","steatosis",0.273807734676823,0.041153536440719,0.0871486654038755,56
"TKT","NAS",0.398908229498666,0.00664068595197359,0.0478129388542098,45
"TKT","ballooning",0.249441796989622,0.0637426475090224,0.208612300938619,56
"TKT","fibrosis_stage",0.0230950392429849,0.867082384811706,0.942824504222675,55
"TKT","inflammation",0.314831601555313,0.035168050480177,0.158256227160796,45
"TKT","steatosis",0.376722746677785,0.00421234355676303,0.0168493742270521,56
"TALDO1","NAS",0.0861945756587191,0.573442147135034,0.665932816027782,45
"TALDO1","ballooning",-0.00994003881083602,0.942038082850178,0.975414522162365,56
"TALDO1","fibrosis_stage",-0.153698693219864,0.262564039756977,0.83533052678059,55
"TALDO1","inflammation",-0.0840983449671169,0.582835158724907,0.723519507382643,45
"TALDO1","steatosis",0.368272955142853,0.00522817506253688,0.0188214302251328,56
"ME1","NAS",0.662480131782689,7.155008775587e-07,2.57580315921132e-05,45
"ME1","ballooning",0.584304282614452,2.26876785598794e-06,8.16756428155658e-05,56
"ME1","fibrosis_stage",0.257651134872206,0.0575508638802341,0.615655774464706,55
"ME1","inflammation",0.516869893102121,0.000277747343833746,0.00999890437801485,45
"ME1","steatosis",0.737058595082654,9.35649873733397e-11,3.36833954544023e-09,56
"IDH1","NAS",0.337978730541149,0.0231646665145501,0.104240999315476,45
"IDH1","ballooning",0.337797697530386,0.010891569037671,0.0653494142260261,56
"IDH1","fibrosis_stage",0.0740328784095682,0.591150387818162,0.910494736826612,55
"IDH1","inflammation",0.160787144122153,0.291368067547906,0.487848009169742,45
"IDH1","steatosis",0.569343504729183,4.67041087269509e-06,5.60449304723411e-05,56
"TXN","NAS",0.390575420560275,0.00798724720788456,0.0479234832473073,45
"TXN","ballooning",0.455482848389544,0.000419670449068098,0.00755406808322576,56
"TXN","fibrosis_stage",0.373544153888278,0.0049677669724923,0.178839611009723,55
"TXN","inflammation",0.340616820981354,0.0220463550243237,0.113381254410808,45
"TXN","steatosis",0.317539716988223,0.0170914807104086,0.0512744421312257,56
"SRXN1","NAS",0.2982478975229,0.0465961001789133,0.129462614008934,45
"SRXN1","ballooning",0.192422804915877,0.15537502073223,0.349593796647518,56
"SRXN1","fibrosis_stage",0.0936894928632672,0.49627687394048,0.910494736826612,55
"SRXN1","inflammation",0.411377983486725,0.00499383900672371,0.0746979459129494,45
"SRXN1","steatosis",-0.12928401973128,0.342292344886296,0.456389793181728,56
"TXNRD1","NAS",0.298047910108378,0.0467503883921151,0.129462614008934,45
"TXNRD1","ballooning",0.124025504833147,0.362447298195321,0.565712872890133,56
"TXNRD1","fibrosis_stage",0.0337171478843577,0.806937247360246,0.928195806716303,55
"TXNRD1","inflammation",0.378405504622966,0.0103747147101319,0.0746979459129494,45
"TXNRD1","steatosis",-0.0705988704979791,0.605125654288184,0.680766361074208,56
